PRODUCT_CODE;PRODUCT_GRAND_FAMILY_CODE;PRODUCT_GRAND_FAMILY_NAME;PRODUCT_FAMILY_CODE;PRODUCT_FAMILY_NAME
8924;GF05;Frais de services;FA22;Frais à l acte
8925;GF05;Frais de services;FA22;Frais à l acte
8926;GF05;Frais de services;FA22;Frais à l acte
8927;GF05;Frais de services;FA22;Frais à l acte
8928;GF05;Frais de services;FA22;Frais à l acte
8929;GF05;Frais de services;FA22;Frais à l acte
8930;GF06;Frais en clientèle;FA06;Remboursement divers
8931;GF06;Frais en clientèle;FA06;Remboursement divers
8932;GF06;Frais en clientèle;FA06;Remboursement divers
8933;GF05;Frais de services;FA21;Frais sur transactions Stations
8934;GF05;Frais de services;FA11;Frais sur transactions Hôtels-Restaurants
8935;GF05;Frais de services;FA03;Abonnements
8936;GF05;Frais de services;FA22;Frais à l acte
8937;GF05;Frais de services;FA22;Frais à l acte
8938;GF05;Frais de services;FA03;Abonnements
8939;GF06;Frais en clientèle;FA06;Remboursement divers
8940;GF05;Frais de services;FA21;Frais sur transactions Stations
8941;GF06;Frais en clientèle;FA06;Remboursement divers
8942;GF06;Frais en clientèle;FA06;Remboursement divers
8943;GF06;Frais en clientèle;FA06;Remboursement divers
8944;GF05;Frais de services;FA22;Frais à l acte
8945;GF05;Frais de services;FA22;Frais à l acte
8946;GF05;Frais de services;FA22;Frais à l acte
8947;GF06;Frais en clientèle;FA06;Remboursement divers
8978;GF05;Frais de services;FA03;Abonnements
8980;GF05;Frais de services;FA22;Frais à l acte
8981;GF05;Frais de services;FA22;Frais à l acte
8982;GF05;Frais de services;FA22;Frais à l acte
8990;GF05;Frais de services;FA03;Abonnements
8991;GF05;Frais de services;FA03;Abonnements
8992;GF05;Frais de services;FA03;Abonnements
8993;GF05;Frais de services;FA03;Abonnements
8994;GF05;Frais de services;FA03;Abonnements
8995;GF05;Frais de services;FA03;Abonnements
8996;GF05;Frais de services;FA22;Frais à l acte
8997;GF05;Frais de services;FA22;Frais à l acte
9001;GFZZ;Grande Famille Produits Non Utilisés;FAZZ;Famille Produits Non Utilisés
9002;GFZZ;Grande Famille Produits Non Utilisés;FAZZ;Famille Produits Non Utilisés
9005;GF05;Frais de services;FA22;Frais à l acte
9010;GF05;Frais de services;FA08;Frais sur transactions Péages
9011;GF05;Frais de services;FA08;Frais sur transactions Péages
9012;GF05;Frais de services;FA08;Frais sur transactions Péages
9017;GF05;Frais de services;FA03;Abonnements
9020;GF05;Frais de services;FA09;Frais sur transactions Parking
9021;GF05;Frais de services;FA09;Frais sur transactions Parking
9022;GF05;Frais de services;FA09;Frais sur transactions Parking
9023;GF05;Frais de services;FA08;Frais sur transactions Péages
9024;GF05;Frais de services;FA08;Frais sur transactions Péages
9025;GF05;Frais de services;FA08;Frais sur transactions Péages
9028;GF05;Frais de services;FA03;Abonnements
9029;GF05;Frais de services;FA22;Frais à l acte
9030;GF05;Frais de services;FA03;Abonnements
9031;GF05;Frais de services;FA03;Abonnements
9032;GF05;Frais de services;FA03;Abonnements
9033;GF05;Frais de services;FA03;Abonnements
9034;GF05;Frais de services;FA03;Abonnements
9035;GF05;Frais de services;FA03;Abonnements
9036;GF05;Frais de services;FA03;Abonnements
9037;GF05;Frais de services;FA03;Abonnements
9038;GF05;Frais de services;FA03;Abonnements
9039;GF05;Frais de services;FA03;Abonnements
9040;GF05;Frais de services;FA03;Abonnements
9041;GF05;Frais de services;FA03;Abonnements
9042;GF05;Frais de services;FA03;Abonnements
9043;GF05;Frais de services;FA03;Abonnements
9044;GF05;Frais de services;FA03;Abonnements
9045;GF05;Frais de services;FA03;Abonnements
9046;GF05;Frais de services;FA03;Abonnements
9047;GF05;Frais de services;FA03;Abonnements
9048;GF05;Frais de services;FA03;Abonnements
9049;GF05;Frais de services;FA03;Abonnements
9050;GF05;Frais de services;FA03;Abonnements
9051;GF05;Frais de services;FA03;Abonnements
9052;GF05;Frais de services;FA03;Abonnements
9053;GF05;Frais de services;FA03;Abonnements
9054;GF05;Frais de services;FA03;Abonnements
9055;GF05;Frais de services;FA03;Abonnements
9056;GF05;Frais de services;FA03;Abonnements
G800;GF05;Frais de services;FA03;Abonnements
G900;GF05;Frais de services;FA03;Abonnements
H200;GF05;Frais de services;FA03;Abonnements
IN00;GF05;Frais de services;FA03;Abonnements
IT00;GF05;Frais de services;FA03;Abonnements
K100;GF05;Frais de services;FA03;Abonnements
K200;GF05;Frais de services;FA03;Abonnements
K300;GF05;Frais de services;FA03;Abonnements
K400;GF05;Frais de services;FA03;Abonnements
LC00;GF05;Frais de services;FA03;Abonnements
LC01;GF05;Frais de services;FA03;Abonnements
LN00;GF05;Frais de services;FA03;Abonnements
LT00;GF05;Frais de services;FA03;Abonnements
CR02;GF05;Frais de services;FA03;Abonnements
CR03;GF05;Frais de services;FA03;Abonnements
CR04;GF05;Frais de services;FA03;Abonnements
CR05;GF05;Frais de services;FA03;Abonnements
CR11;GF05;Frais de services;FA03;Abonnements
CR12;GF05;Frais de services;FA03;Abonnements
CR13;GF05;Frais de services;FA03;Abonnements
